Timestamp (mm:ss.SSS),ECG Value
11:37.628,1856.000
11:37.623,1868.250
11:28.118,1946.500
11:28.113,1999.750
11:28.108,1992.000
11:28.103,1999.000
11:28.098,2029.000
11:28.093,2027.500
11:28.088,2030.000
11:28.083,2005.750
11:28.078,1963.750
11:28.073,1962.500
11:28.068,1974.250
11:28.063,1983.500
11:28.058,2012.750
11:28.053,1997.250
11:28.048,1918.750
11:28.043,1897.250
11:28.038,1943.000
11:28.033,1987.750
11:28.028,2024.250
11:28.023,1988.500
11:28.018,1919.750
11:28.013,1867.250
11:28.008,1890.500
11:28.003,1909.500
11:27.998,1934.750
11:27.993,1954.000
11:27.988,1928.250
11:27.983,1849.500
11:27.978,1808.500
11:27.973,1849.000
11:27.968,1904.000
11:27.963,1918.500
11:27.958,1922.000
11:27.953,1889.750
11:27.948,1890.000
11:27.943,1894.250
11:27.938,1875.500
11:27.933,1811.000
11:27.928,1813.500
11:27.923,1829.250
11:27.918,1822.250
11:27.913,1822.750
11:27.908,1820.750
11:27.903,1773.000
11:27.898,1702.750
11:27.893,1688.250
11:27.888,1724.000
11:27.883,1665.000
11:27.878,1568.500
11:27.873,1721.500
11:27.868,2095.500
11:27.863,2525.250
11:27.858,3089.000
11:27.853,3540.000
11:27.848,3189.750
11:27.843,2388.750
11:27.838,1870.250
11:27.833,1583.500
11:27.828,1496.750
11:27.823,1594.250
11:27.818,1710.500
11:27.813,1812.500
11:27.808,1840.250
11:27.803,1821.250
11:27.798,1838.750
11:27.793,1816.500
11:27.788,1814.500
11:27.783,1845.750
11:27.778,1869.500
11:27.773,1849.250
11:27.768,1779.000
11:27.763,1763.250
11:27.758,1807.500
11:27.753,1801.750
11:27.748,1773.000
11:27.743,1827.750
11:27.738,1877.250
11:27.733,1861.250
11:27.728,1815.750
11:27.723,1818.000
11:27.718,1879.250
11:27.713,1970.250
11:27.708,2033.500
11:27.703,2060.000
11:27.698,2014.500
11:27.693,1924.250
11:27.688,1893.000
11:27.683,1912.500
11:27.678,1909.750
11:27.673,1895.250
11:27.668,1892.750
11:27.663,1867.000
11:27.658,1829.250
11:27.653,1796.250
11:27.648,1794.250
11:27.643,1786.000
11:27.638,1772.250
11:27.633,1800.250
11:27.628,1850.500
11:27.623,1864.250
11:18.115,1863.250
11:18.110,1830.250
11:18.105,1817.500
11:18.100,1805.000
11:18.095,1811.500
11:18.090,1789.750
11:18.085,1784.250
11:18.080,1804.500
11:18.075,1795.000
11:18.070,1795.750
11:18.065,1798.750
11:18.060,1797.750
11:18.055,1789.500
11:18.050,1778.000
11:18.045,1805.250
11:18.040,1815.000
11:18.035,1805.500
11:18.030,1774.250
11:18.025,1782.250
11:18.020,1796.250
11:18.015,1802.750
11:18.010,1797.000
11:18.005,1783.750
11:18.000,1794.250
11:17.995,1808.000
11:17.990,1814.750
11:17.985,1820.750
11:17.980,1819.500
11:17.975,1793.750
11:17.970,1772.500
11:17.965,1775.500
11:17.960,1770.000
11:17.955,1781.250
11:17.950,1770.750
11:17.945,1760.250
11:17.940,1761.750
11:17.935,1775.500
11:17.930,1761.000
11:17.925,1734.750
11:17.920,1737.500
11:17.915,1762.750
11:17.910,1753.500
11:17.905,1743.750
11:17.900,1754.000
11:17.895,1794.750
11:17.890,1849.250
11:17.885,1893.250
11:17.880,1896.750
11:17.875,1886.500
11:17.870,1894.750
11:17.865,1950.250
11:17.860,1988.750
11:17.855,2008.000
11:17.850,1990.250
11:17.845,1979.500
11:17.840,1995.000
11:17.835,1997.250
11:17.830,1967.250
11:17.825,1978.000
11:17.820,1994.750
11:17.815,1987.750
11:17.810,1943.000
11:17.805,1946.250
11:17.800,1964.000
11:17.795,1961.750
11:17.790,1949.250
11:17.785,1936.750
11:17.780,1925.500
11:17.775,1944.750
11:17.770,1955.250
11:17.765,1931.000
11:17.760,1905.500
11:17.755,1892.250
11:17.750,1887.500
11:17.745,1863.250
11:17.740,1856.750
11:17.735,1870.250
11:17.730,1871.500
11:17.725,1858.250
11:17.720,1838.250
11:17.715,1814.000
11:17.710,1834.250
11:17.705,1841.500
11:17.700,1818.500
11:17.695,1826.000
11:17.690,1820.750
11:17.685,1815.000
11:17.680,1813.000
11:17.675,1788.250
11:17.670,1795.250
11:17.665,1802.250
11:17.660,1814.500
11:17.655,1766.750
11:17.650,1678.000
11:17.645,1612.250
11:17.640,1577.000
11:17.635,1584.000
11:17.630,1533.750
11:17.625,1521.000
11:17.620,1696.250
11:08.112,1950.500
11:08.107,1968.000
11:08.102,1974.250
11:08.097,1968.000
11:08.092,1970.750
11:08.087,1967.250
11:08.082,1966.000
11:08.077,1962.750
11:08.072,1965.500
11:08.067,1970.000
11:08.062,1957.750
11:08.057,1943.000
11:08.052,1927.750
11:08.047,1955.250
11:08.042,1952.750
11:08.037,1912.750
11:08.032,1933.500
11:08.027,1944.000
11:08.022,1931.500
11:08.017,1932.500
11:08.012,1918.250
11:08.007,1905.500
11:08.002,1880.750
11:07.997,1861.000
11:07.992,1850.250
11:07.987,1866.250
11:07.982,1891.250
11:07.977,1892.750
11:07.972,1861.500
11:07.967,1851.250
11:07.962,1854.250
11:07.957,1866.500
11:07.952,1849.750
11:07.947,1852.250
11:07.942,1878.000
11:07.937,1858.750
11:07.932,1824.250
11:07.927,1805.000
11:07.922,1760.250
11:07.917,1692.000
11:07.912,1638.250
11:07.907,1614.500
11:07.902,1626.500
11:07.897,1594.750
11:07.892,1592.000
11:07.887,1805.500
11:07.882,2134.500
11:07.877,2653.000
11:07.872,3238.250
11:07.867,3570.750
11:07.862,3016.000
11:07.857,2265.000
11:07.852,1772.750
11:07.847,1553.750
11:07.842,1526.500
11:07.837,1645.750
11:07.832,1794.500
11:07.827,1840.750
11:07.822,1853.500
11:07.817,1865.750
11:07.812,1855.000
11:07.807,1830.500
11:07.802,1826.000
11:07.797,1837.750
11:07.792,1865.000
11:07.787,1862.250
11:07.782,1858.750
11:07.777,1840.250
11:07.772,1834.000
11:07.767,1843.000
11:07.762,1860.500
11:07.757,1877.500
11:07.752,1887.250
11:07.747,1872.000
11:07.742,1862.500
11:07.737,1919.000
11:07.732,1983.750
11:07.727,2023.750
11:07.722,2085.250
11:07.717,2070.250
11:07.712,2025.250
11:07.707,2002.500
11:07.702,1978.250
11:07.697,1950.250
11:07.692,1934.000
11:07.687,1913.500
11:07.682,1897.500
11:07.677,1894.250
11:07.672,1877.250
11:07.667,1854.000
11:07.662,1852.750
11:07.657,1845.000
11:07.652,1872.500
11:07.647,1901.000
11:07.642,1907.250
11:07.637,1911.250
11:07.632,1880.750
11:07.627,1840.250
11:07.622,1834.750
11:07.617,1857.750
10:58.109,1793.250
10:58.104,1809.000
10:58.099,1817.000
10:58.094,1821.750
10:58.089,1847.750
10:58.084,1874.750
10:58.079,1880.250
10:58.074,1868.250
10:58.069,1857.250
10:58.064,1867.750
10:58.059,1937.500
10:58.054,1987.000
10:58.049,2045.000
10:58.044,2024.250
10:58.039,1988.250
10:58.034,1931.000
10:58.029,1938.500
10:58.024,1940.500
10:58.019,1928.000
10:58.014,1881.250
10:58.009,1859.250
10:58.004,1843.000
10:57.999,1822.250
10:57.994,1818.500
10:57.989,1838.750
10:57.984,1842.750
10:57.979,1840.750
10:57.974,1844.750
10:57.969,1859.750
10:57.964,1851.000
10:57.959,1845.500
10:57.954,1851.500
10:57.949,1833.500
10:57.944,1826.000
10:57.939,1851.250
10:57.934,1837.750
10:57.929,1854.250
10:57.924,1833.750
10:57.919,1835.500
10:57.914,1821.250
10:57.909,1807.250
10:57.904,1836.000
10:57.899,1848.000
10:57.894,1846.750
10:57.889,1824.750
10:57.884,1824.750
10:57.879,1835.000
10:57.874,1836.500
10:57.869,1839.500
10:57.864,1842.500
10:57.859,1826.250
10:57.854,1836.000
10:57.849,1849.750
10:57.844,1836.500
10:57.839,1820.750
10:57.834,1813.000
10:57.829,1799.250
10:57.824,1781.000
10:57.819,1756.250
10:57.814,1773.500
10:57.809,1802.500
10:57.804,1832.500
10:57.799,1826.500
10:57.794,1826.750
10:57.789,1867.000
10:57.784,1909.750
10:57.779,1904.750
10:57.774,1926.500
10:57.769,1940.500
10:57.764,1981.750
10:57.759,1980.000
10:57.754,1993.000
10:57.749,1977.000
10:57.744,1975.000
10:57.739,1976.250
10:57.734,1985.750
10:57.729,2016.750
10:57.724,1992.000
10:57.719,1993.500
10:57.714,1967.750
10:57.709,1995.750
10:57.704,2000.500
10:57.699,1975.250
10:57.694,1998.500
10:57.689,2003.500
10:57.684,1963.000
10:57.679,1932.000
10:57.674,1928.500
10:57.669,1919.250
10:57.664,1907.500
10:57.659,1919.750
10:57.654,1899.250
10:57.649,1899.250
10:57.644,1890.500
10:57.639,1894.750
10:57.634,1902.500
10:57.629,1876.750
10:57.624,1855.250
10:57.619,1887.750
10:57.614,1900.000
10:48.132,1906.000
10:48.127,1905.250
10:48.122,1889.750
10:48.117,1880.750
10:48.112,1875.000
10:48.107,1852.250
10:48.107,1876.500
10:48.102,1886.000
